,T1 Canada Level 3,T1 Canada Level 2,T1 International,T1 United States,T3 Canada,T3 International,T3 United States
2022-05-09 05:20:03.720327,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 05:30:03.454768,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 05:40:03.828187,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 05:50:04.029659,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 06:00:03.862039,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 06:10:04.009799,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 06:20:08.635224,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 06:30:03.497041,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 06:40:03.703161,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 06:50:03.921375,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 07:00:05.199273,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 07:10:04.884196,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 07:20:04.163968,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 07:30:03.857109,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-09 07:40:04.249279,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 07:50:08.904058,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-09 08:00:03.680967,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-09 08:10:04.137658,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-09 08:20:04.651318,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,10-15 min,Less than 5 min,Less than 5 min
2022-05-09 08:30:03.807569,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,20-25 min,Less than 5 min,Less than 5 min
2022-05-09 08:40:04.156087,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min,15-20 min,Less than 5 min,10-15 min
2022-05-09 08:50:04.647911,10-15 min,Less than 5 min,Less than 5 min,Less than 5 min,25-30 min,Less than 5 min,10-15 min
2022-05-09 09:00:04.079522,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min,25-30 min,Less than 5 min,10-15 min
2022-05-09 09:10:04.410273,10-15 min,Less than 5 min,Less than 5 min,5-10 min,More than 30 min,Less than 5 min,10-15 min
2022-05-09 09:20:04.054399,20-25 min,Less than 5 min,Less than 5 min,25-30 min,25-30 min,Less than 5 min,10-15 min
2022-05-09 09:30:07.711024,20-25 min,Less than 5 min,Less than 5 min,More than 30 min,More than 30 min,Less than 5 min,5-10 min
2022-05-09 09:40:03.371695,20-25 min,Less than 5 min,Less than 5 min,More than 30 min,More than 30 min,Less than 5 min,Less than 5 min
2022-05-09 09:50:03.828706,More than 30 min,Less than 5 min,Less than 5 min,More than 30 min,More than 30 min,5-10 min,Less than 5 min
2022-05-09 10:00:04.538185,Less than 5 min,Less than 5 min,Less than 5 min,More than 30 min,More than 30 min,Less than 5 min,Less than 5 min
2022-05-09 10:10:09.020749,More than 30 min,Less than 5 min,Less than 5 min,More than 30 min,More than 30 min,Less than 5 min,Less than 5 min
2022-05-09 10:20:04.367436,More than 30 min,Less than 5 min,Less than 5 min,More than 30 min,More than 30 min,Less than 5 min,Less than 5 min
2022-05-09 10:30:04.062886,Less than 5 min,Less than 5 min,Less than 5 min,More than 30 min,25-30 min,Less than 5 min,Less than 5 min
2022-05-09 10:40:04.255487,Less than 5 min,Less than 5 min,10-15 min,More than 30 min,20-25 min,Less than 5 min,Less than 5 min
